RCP_SNO,RCP_TTL,CKG_NM,RGTR_ID,RGTR_NM,INQ_CNT,RCMM_CNT,SRAP_CNT,CKG_MTH_ACTO_NM,CKG_STA_ACTO_NM,CKG_MTRL_ACTO_NM,CKG_KND_ACTO_NM,CKG_IPDC,CKG_MTRL_CN,CKG_INBUN_NM,CKG_DODF_NM,CKG_TIME_NM,FIRST_REG_DT
128671,어묵김말이,어묵김말이,skfo0701,꽃날,9592,6,66,튀김,간식,가공식품류,디저트,맛있는 김말이에 쫄깃함을 더한 어묵 김말이예요-,[재료] 어묵 2개| 김밥용김 3장| 당면 1움큼| 양파 1/2개| 당근 1/2개| 깻잎 6장| 튀김가루 1컵 | 올리브유 적당량| 간장 1T| 참기름 1T,2인분,초급,60분이내,20070402131403
128892,두부에 꼬리가 달렸어요!!,skfo0701,skfo0701,꽃날,5538,3,26,부침,일상,해물류,밑반찬,꼬리가 너-무- 매력적인 두부새우전. 두부와 야채를 한번에!! 영양까지 만점인 두부새우전. 모양도 이쁘고 맛까지 좋은 두부새우전!! 함께 만들어 보아요♥,[재료] 두부 1/2모| 당근 1/2개| 고추 2개| 브로콜리 1/4개| 새우 4마리| 녹말가루| 계란 1개,3인분,초급,30분이내,20070402205937
128932,입안에서 톡톡톡,skfo0701,skfo0701,꽃날,6802,8,36,굽기,일상,해물류,밥/죽/떡,간단하게 만들어 보는 알이 톡톡톡 알밥♥ 다 먹고 누룽지까지 싹싹 긁어먹는게 최고죠~ 색깔도 너무 이쁘고 한 그릇만 있으면 반찬도 필요없는 알밥,[재료] 밥 1+1/2공기| 당근 1/4개| 치자단무지 1/2개| 신김치 1쪽| 무순 약간| 날치알 6스푼| 김가루 약간| 후리가케(또는밥이랑같은류)| 참기름 약간| 통깨 약간| 계란 노른자 2알,2인분,초급,30분이내,20070402224355
131871,★현미호두죽,현미호두죽,cds1117,햇님&별님,2912,0,9,끓이기,일상,쌀,밥/죽/떡,현미호두죽,[재료] 현미 4컵| 찹쌀 2컵| 호두 50g| 물 1/2컵| 소금 약간,2인분,초급,30분이내,20070410142301
139247,부들부들 보들보들 북어갈비♥,북어갈비,skfo0701,꽃날,6865,3,97,굽기,술안주,건어물류,메인반찬,오늘은 집에서 굴러다니고 쉽게 구할 수 있는 북어로 일품요리를 만들어 보았어요! 도시락 반찬으로는 물론 초대요리에도 너무너무 좋은 요리랍니다~ 겉에 찹쌀가루를 묻혀서 맛도 고소해요~,[재료] 북어포 1마리| 찹쌀가루 1C [양념] 간장 2T| 설탕 1T| 물 1T| 다진파 1T| 다진마늘 1T| 참기름 1T| 깨소금 1T| 후춧가루 약간,2인분,초급,60분이내,20070501000844
149207,토마토스파게티♥,토마토스파게티,skfo0701,꽃날,12754,2,36,볶음,일상,가공식품류,면/만두,한번 만들어 두면 이모저모 쓸 용도가 많은 토마토소스를 이용한 토마토 스파게티.,[재료] 파스타면 [양념] 토마토 1개| 토마토 페이스트 3T| 양파 1/2개| 다진마늘 1T| 피망 1/2개| 올리브유 3T,1인분,초급,30분이내,20070525232601
151148,표고버섯탕수,표고버섯탕수,skfo0701,꽃날,16053,2,194,튀김,손님접대,버섯류,메인반찬,탕수육 먹을때 칼로리때문에 걱정하시는 분들!! 이제는 걱걱걱 정하지 마세요~ 칼로리를 조금 낮추고 맛은 올리고 게다가 영양까지 듬뿍듬뿍 들어있는 표고버섯을 이용한 탕수!!! 바로 표고버섯탕수♥ 건표고와 냉장고에 남아있는 야채들을 이용해서 함께 만들어 보아요.,[재료] 건표고버섯 9개| 오이 1/2개| 당근 1/2개| 양파 1/2개| 사과 1/2쪽| 그외의 야채| 과일 [녹말물] 녹말가루 2C| 물 1C| 계란 노른자 1개 [탕수 소스] 물 2C| 설탕 1/2C| 식초 3T| 간장 1T| 녹말물 2T,2인분,초급,30분이내,20070530142653
153040,달콤한 마늘향이 가득해~ 갈릭치킨♥,갈릭치킨,skfo0701,꽃날,8148,0,38,튀김,손님접대,닭고기,메인반찬,요즘 갈릭이 대세인거 같아요~ 그래서 오늘은 제가 너무 좋아하는 닭과 마늘을 한번에!! 달콤한 마늘향이 가득한 갈릭치킨을 만들어 보았어요~,[재료] 닭 1마리 [닭양념] 통마늘 3개| 다진마늘 1T| 화이트와인또는우유| 올리브유또는버터| 마늘솔트또는소금 [샐러드 드레싱] 파인애플 2쪽| 마요네즈 2T| 머스터드 1T| 식초1/2T(또는 레몬즙) | 꿀 1T,2인분,중급,60분이내,20070603232445
221094,바삭바삭 양파링 튀김 만들기,양파링튀김,skfo0701,박꽃나래,17660,14,242,튀김,간식,채소류,디저트,완전 바삭바삭 맛있어요~ 특히 양파를 싫어하는 아이들에게도 거부감없이! 왜냐면 바삭바삭하고 매운맛도 전혀 없답니다!,[재료] 양파1개| 빵가루| 달걀 노른자1개| 밀가루1C| 물 약간| 파슬리 ,2인분,초급,30분이내,20071012223140
221097,참치 삼각김밥 삼총사,참치삼각김밥,skfo0701,박꽃나래,48896,8,351,기타,도시락,가공식품류,밥/죽/떡,맨날 편의점에서만 사먹는 삼각김밥~ 집에서 간편히 만들 수 있다는 사실~ 참치만 있으면 냉장고 열어서 만들 수 있어요~ 한끼식사로도 좋고 도시락으로도 좋은 참치삼각김밥을 만들어 보아요~,[재료] 밥 2공기| 참치캔 큰거 1개| 양파| 다진김치| 김밥용김 [양념] 고추장| 다진마늘| 참기름| 맛소금| 마요네즈,2인분,초급,30분이내,20071012223511
221098,해물을 가득 넣은 뚝배기 해물떡볶이,뚝배기해물떡볶이,skfo0701,박꽃나래,15714,8,37,볶음,술안주,해물류,밥/죽/떡,해물을 가득가득 넣은 떡볶이를 만들어 보아요~ 보통먹는 자잘한 떡볶이가 아니라 볶아 만드는 떡볶이랍니다~ 일명 안주용 떡볶이죠~ 맛있는 떡볶이 함께 만들어 보아요~,[재료] 떡볶이떡 150g| 당근 1/2개| 파 1뿌리| 양파 1/2개| 양배추 1/4통| 어묵 2장| 오징어| 새우| 조갯살| 홍합살 [양념장] 고춧가루 2T| 고추장 1T| 물엿 1T| 간장 1T| 참기름 1T| 다진 마늘 1/2T| 깨 1/2T| 후추가루 약간,2인분,중급,30분이내,20071012223648
221101,스팸 샌드위치 만들기,스팸샌드위치,skfo0701,박꽃나래,31602,10,103,기타,도시락,밀가루,빵,보통 스팸은 그냥 구워서 밥에만 올려먹잖아요~ 하지만 샌드위치로 만들어 먹으면 더~ 맛있답니다~ 아주~ 간단하지만 폼나는 스팸 샌드위치~ 함께 만들어 보아요~,[재료] 스팸 싱글 1팩| 샌드위치용 식빵2쪽| 토마토 1개| 상추 2쪽| 치즈 1장 [양념] 홀그레인머스터드| 허니머스터드| 다진양파,1인분,초급,15분이내,20071012223908 
221102,참치 깻잎 주먹밥,참치깻잎주먹밥,skfo0701,박꽃나래,31537,16,255,기타,도시락,채소류,밥/죽/떡,동글동글 모양도 이쁘고 색도 이쁜 도시락입니다~ 게다가 맛도 정말 좋아요~,[재료] 밥 2공기| 깻잎 10장| 참치 작은캔 1개| 당근1/2개| 조미 김10장 [양념] 다진 마늘1/4t개| 깨소금| 맛소금| 참기름,2인분,초급,60분이내,20071012224039 
223583,새우볶음밥 고로케,새우볶음밥고로케,skfo0701,박꽃나래,27837,19,942,튀김,도시락,해물류,빵,새우는 조금만 생각을 달리해도 정말 색다른 요리가 탄생하는 재료랍니다~ 이쁜 고로케 한번 만들어 보아요~,[재료] 새우 10마리| 밥 2공기| 김치 1/4포기| 당근 1/2개| 감자 1/2개| 양파 1/2개| 빵가루| 달걀| 밀가루,2인분,중급,60분이내,20071018221219 
223584,꼬마 스팸 쌈밥 만들기,스팸쌈밥,skfo0701,박꽃나래,18129,5,101,기타,도시락,가공식품류,밥/죽/떡,스팸을 이용한 맛있는 쌈밥이예요~ 꼭 도시락이 아니더라도 아침에 간단하게 드시거나 입맛없을때 한끼 식사로도 너무 좋은 쌈밥이랍니다~,[재료] 밥 2공기| 상추(작은걸로골라서)나그외쌈야채| 스팸| 밑반찬 [양념] 참기름 1/2t| 맛소금 약간 | 깨 약간 ,2인분,아무나,30분이내,20071018222625 
225141,베이컨 김치말이 밥,베이컨김치말이밥,skfo0701,박꽃나래,68470,53,3045,기타,도시락,가공식품류,밥/죽/떡,오늘은 누구나 좋아하는 베이컨과 김치를 가지고 맛있는 베이컨김치말이밥을 만들어 보아용~ 아이들 소풍도시락에도 좋지만~ 아빠들이 더 좋아할 도시락이랍니다~,[재료] 밥 1공기| 김치 1/6포기| 베이컨 적당량 | 깻잎 5장| 양파 1/4개,2인분,초급,60분이내,20071022234431 
225146,스팸 오이 식빵롤,스팸오이식빵롤,skfo0701,박꽃나래,37675,39,1029,굽기,도시락,밀가루,빵,스팸이랑 오이만 있으면 간단하게 만들 수 있어서 아이들과 함께 만들어 봐도 좋을거 같아요~ 간단히 도시락쌀때나 피크닉 기분을 내고 싶을때 아이들 간식으로도 좋아요~,[재료] 식빵 4장| 스팸 1/3캔| 오이 1개| 체다치즈(노란치즈) [양념] 머스터드| 피클| 마요네즈,2인분,초급,30분이내,20071022235649 
331003,달콤 쫀득 고구마 치즈스틱,고구마치즈스틱,skfo0701,박꽃나래,16437,17,188,튀김,간식,채소류,디저트,평소에 치즈스틱을 만들때 튀김옷을 꼼꼼히 입히지 않으면 튀길때 치즈들이 삐져나와서 불편했는데~ 이제는 그런 걱정 하지마세요~ 치즈가 달콤한 고구마옷을 입으면 빠져나오지도 않고 더 맛있다는 사실~ 함께 만들어 보아요,[재료] 고구마 큰거 2개| 모차렐라치즈(피자치즈) 1/2개| 버터 1T| 밀가루| 빵가루| 달걀 1개,2인분,초급,60분이내,20071027213944 
331006,매콤 오징어 볶음우동,오징어볶음우동,skfo0701,박꽃나래,25379,8,95,볶음,일상,해물류,면/만두,오늘은 오징어를 맛있게 볶아봤어요~ 보통 오징어볶음은 소면이랑 같이 많이들 드시잖아요~ 근데 소면대신 우동사리를 넣으면 오통통하게 씹히는 맛이 더 좋답니다~ 보기에는 매워도 막상 먹을때는 많이 맵지 않아서~ 아이들과 함께 드실 수 있어요~,[재료] 오징어 1마리| 양파 1/4개| 대파 1/2쪽| 당근 1/3개| 청고추 1개| 홍고추 1개 [양념] 고추장 1T| 고춧가루 1T| 다진 마늘 1T| 참기름 1T| 설탕 1t| 간장 1t| 청주 1t| 후추 약간| 소금 약간,2인분,중급,30분이내,20071027215318 
333866,영양가득 호두 가래떡구이,호두가래떡구이,skfo0701,박꽃나래,8703,4,88,굽기,영양식,콩/견과류,디저트,손님대접에도 좋고 아이들에게도 좋은 호두 가래떡구이입니다.,[재료] 가래떡 1개| 호두 15알 정도 [양념] 깨 3T| 꿀 5T,1인분,아무나,15분이내,20071101215302 
333869,카레새우 삼각김밥 도시락싸기,카레새우삼각김밥,skfo0701,박꽃나래,11758,4,71,기타,도시락,해물류,밥/죽/떡,카레좋아하는 분들 많잖아요~ 근데 도시락으로 싸기에는 난감하잖아요~ 마땅히 데울때도 없고~ 이제는 그런 걱걱걱정하지 마세요~ 꽃날이 해냈습니다요~ 카레가 도시락속으로! 카레의 완벽한 변신! 카레새우삼각김밥~ 함께 만들어 보아요~,[재료] 새우 7마리| 양파 1/4개| 김치 1/6포기| 밥지을쌀| 김밥용김| 계란| 밀가루| 빵가루 [양념] 백세 카레가루 2T,2인분,중급,90분이내,20071101220444 
340534,블루베리가 톡톡 씹혀요~ 블루베리쨈과 모닝베리♥,블루베리쨈,skfo0701,박꽃나래,14497,2,76,조림,간식,과일류,양념/소스/잼,첨가물이 가득 들어있는 쨈보다는 집에서 직접 만들어보아요~ 설탕도 조절할수 있고 맛도 좋은 홈메이드 쨈♥ 오늘은 제가 너무 좋아하는 블루베리를 이용해서 만들어 볼께용~,[재료] 블루베리 500g| 설탕 150g| 레몬즙 2T| 럼 1T| 모닝빵 3개,2인분,중급,60분이내,20071111141518 
340537,미니새우버거♥,미니새우버거,skfo0701,박꽃나래,6642,5,84,굽기,일상,해물류,빵,기름에 튀긴 새우버거는 NO! 신선한 야채와 새우로 만든 더 건강하고 맛있는 미니새우버거♥ ,[재료] 모닝빵 3개| 새우 10마리| 상추 3장| 토마토 1개| 피클 약간| 마요네즈 [패티양념] 다진양파 1/2개| 빵가루| 밀가루| 계란| 소금| 후추,3인분,초급,30분이내,20071111142910 
343935,달콤하고 고소한 고구마 그라탕,고구마그라탕,okwn7,센,7454,1,44,굽기,일상,채소류,양식,그냥 먹어도 달고 맛난 고구마지만 좀 더 달콤하고 맛나게 특별하게 그라탕으로 즐기는 것도 좋죠. 요건 달콤한 커스터드 크림과 아몬드 슬라이스를 더해 더욱 달콤하고 고소하게 즐길 수 있답니다.,[재료] 고구마 으깬것 250g| 생크림 2큰술| 설탕 1큰술| 버터 1큰술| 아몬드슬라이스| 모짜렐라치즈 [커스타드크림] 우유 270ml| 박력분 25g| 노른자 3개| 설탕 60g| 바닐라오일 약간| 버터 20g,2인분,초급,30분이내,20071115224032 
344698,쌀로 만든 밤식빵,밤식빵,okwn7,센,7398,5,76,굽기,간식,밀가루,빵,집에서 만든 밤조림과 국내산 쌀가루로 만든 빵이라 안심하고 먹을수 있어요. 나풀나풀 뜯어지는 쫄깃하고 부드런 닭살 질감을 자랑하는 쌀로 만든 밤식빵 같이 만들어 보실래요?,[재료] 국내산 제빵용 쌀가루 390그램| 계란 1개| 우유 250~270ml| 인스턴트 드라이 이스트 4그램| 소금 4그램| 버터 50그램| 설탕 50그램| 밤조림 150그램| 아몬드 슬라이스 30그램. [쿠키반죽] 버터 75그램| 설탕 75그램| 노른자 1개| 박력분 110그램| 바닐라오일 약간,6인분이상,중급,2시간이상,20071116203632 
345834,고소한 고구마보트,고구마보트,okwn7,센,4116,0,12,굽기,간식,채소류,디저트,달콤하고 부드러운 고구마가 커스타드크림을 만나 한층 더 고급스러운 맛을 자랑하는 고구마보트입니다.,[재료] 고구마 5개| 생크림 3큰술| 버터 2큰술| 커스타드크림 100g| 설탕 1큰술| 소금 약간 | 소금 약간| 설탕 1큰술,3인분,초급,30분이내,20071119133949 
346652,포실포실 부드러운 감자스프,감자스프,skfo0701,박꽃나래,9866,3,81,끓이기,일상,채소류,스프,누구나 좋아하는 포실포실 감자스프 함께 만들어 보아용,[재료] 감자(中) 2개| 생크림 1C| 우유 1C| 양파 1/2개| 베이컨 2장| 체다치즈 1장| 피자치즈 약간 [양념] 버터 1T| 육수 1C,2인분,초급,60분이내,20071120135922 
346665,맛있는 김치와 굴을 넣은 뚝배기 라면,뚝배기라면,skfo0701,박꽃나래,37365,14,148,끓이기,야식,가공식품류,면/만두,누구나 쉽게 끓일 수 있는 라면에 제철을 맞은 싱싱한 굴과 김치를 넣어서 맛있는 라면을 끓여보아요.,[재료] 좋아하는 종류의 라면 1봉지| 김치 1/4포기| 굴 5~6개| 파 1개| 청or홍고추 1개 [양념] 고춧가루 약간,1인분,아무나,10분이내,20071120141425 
347791,오븐에 굽는 포테이토스킨,포테이토스킨,okwn7,센,8184,5,114,굽기,간식,채소류,디저트,감자는 어떤걸 해먹어도 맛있지만 간혹 좀 느끼하고 리치한 맛을 원할때가 있죠. 패밀리레스토랑 같은곳에나 가야 맛볼수 있는 포테이토스킨을 집에서도 쉽고 간단하게 만들어 먹을수 있어요. 기름에 튀기지 않고 오븐에 굽기 때문에 덜 느끼하고 담백하게 즐길수 있답니다.,[재료] 감자 4개| 올리브유 약간| 베이컨 4장| 모짜렐라치즈 200그램| 파슬리 약간 [양념] 소금 약간,2인분,초급,30분이내,20071121232920 
349330,오코노미야키,오코노미야키,skfo0701,박꽃나래,17893,6,219,부침,술안주,육류,메인반찬,술안주나 간식으로 쉽게 만들수 있는 일본요리 ,[재료] 양배추 1/2통| 숙주 1줌| 오징어 1마리| 새우 6마리| 베이컨 2줄| 계란 1개| 실파 약간 [오코노미야키반죽] 밀가루 1C| 물 1C| 혼다시 1T| 후추&소금 약간 [양념] 돈가스소스| 마요네즈,2인분,중급,60분이내,20071123221334 
349332,바삭바삭 야끼만두,야끼만두,skfo0701,박꽃나래,25140,4,267,튀김,간식,밀가루,면/만두,오늘은 떡볶이의 베스트프렌드 야끼만두를 만들어 볼게요. 분식집에서 흔히 먹는 야끼만두보다 더 바삭바삭하고 안이 꽉찬 야끼만두예요. 저는 분식집 야끼만두의 기름에 쩔은듯한 그 식감이 너무 싫었는데 시판 만두피를 이용해서 집에서 만드니 바삭바삭하고 정말 맛있답니다.,[재료] 당면 2줌| 부추 1줌| 만두피 10장 [양념] 간장 2T| 물엿 또는 설탕 1T| 참기름 1T| 다진 파 1T| 다진 마늘 1T | 소금 약간| 후추 약간,2인분,중급,60분이내,20071123222551 